Month,State,City,Sessions,New users,Users,Transactions,Transaction revenue
2019|02,New South Wales,Forbes,107,24,34,0,$0.00
2019|02,New South Wales,Goulburn,5,5,5,0,$0.00
2019|02,New South Wales,Grafton,213,92,145,24,"$1,768.24"
2019|02,New South Wales,Griffith,393,78,150,5,$203.38
2019|02,New South Wales,Katoomba,49,19,39,0,$0.00
2019|02,New South Wales,Kempsey,199,44,82,5,$143.96
2019|02,New South Wales,Kiama,310,107,209,10,$874.95
2019|02,New South Wales,Lismore,344,87,194,15,"$1,397.82"
2019|02,New South Wales,Lithgow,19,10,15,5,"$1,124.89"
2019|02,New South Wales,Maitland,92,24,49,10,$326.82
2019|02,New South Wales,Mudgee,475,179,296,19,"$3,081.42"
2019|02,New South Wales,Muswellbrook,102,63,78,5,"$6,679.64"
2019|02,New South Wales,Newcastle,"10,889","3,162","6,131",281,"$36,867.90"
2019|02,New South Wales,Nowra,121,15,44,0,$0.00
2019|02,New South Wales,Orange,990,306,568,44,"$4,758.67"
2019|02,New South Wales,Parkes,145,68,97,10,$561.82
2019|02,New South Wales,Port Macquarie,"1,310",451,863,44,"$4,755.61"
2019|02,New South Wales,Queanbeyan,408,102,209,10,"$3,812.66"
2019|02,New South Wales,Raymond Terrace,359,39,126,15,"$1,751.75"
2019|02,New South Wales,Richmond,63,10,29,0,$0.00
2019|02,New South Wales,Singleton,175,58,126,0,$0.00
2019|02,New South Wales,Sydney,"678,058","220,108","334,761","17,704","$2,132,767.39"
2019|02,New South Wales,Tamworth,635,228,446,15,"$1,128.58"
2019|02,New South Wales,Taree,335,73,184,5,$106.71
2019|02,New South Wales,Wagga Wagga,"1,329",451,810,34,"$4,822.01"
2019|02,New South Wales,Wollongong,"8,789","2,736","5,141",213,"$22,520.17"
2019|02,Northern Territory,(not set),92,24,63,5,$349.08
2019|02,Northern Territory,Alice Springs,286,82,150,10,"$1,585.23"
2019|02,Northern Territory,Darwin,"3,764","1,004","1,819",82,"$14,083.44"
2019|02,Queensland,(not set),"2,066",621,"1,237",53,"$5,072.63"
2019|02,Queensland,Bongaree,63,15,44,0,$0.00
2019|02,Queensland,Brisbane,"244,782","71,804","119,086","6,286","$749,932.15"
2019|02,Queensland,Buderim,78,44,68,5,$829.17
2019|02,Queensland,Bundaberg,679,141,344,15,"$1,880.67"
2019|02,Queensland,Cairns,"7,664","2,343","4,099",238,"$31,348.22"
2019|02,Queensland,Dalby,78,39,73,0,$0.00
2019|02,Queensland,Emerald,73,44,63,0,$0.00
2019|02,Queensland,Gladstone,558,126,281,39,"$4,135.64"
2019|02,Queensland,Gold Coast,"22,380","7,309","13,295",640,"$84,589.26"
2019|02,Queensland,Gympie,223,97,150,10,"$4,111.63"
2019|02,Queensland,Hervey Bay,757,184,403,29,"$1,727.59"
2019|02,Queensland,Kingaroy,73,15,44,10,"$3,030.83"
2019|02,Queensland,Mackay,"2,120",626,"1,271",63,"$6,885.10"
2019|02,Queensland,Maroochydore,15,5,15,0,$0.00
2019|02,Queensland,Maryborough,170,73,112,5,$566.03
2019|02,Queensland,Mount Isa,107,44,78,0,$0.00
2019|02,Queensland,Nambour,53,10,29,0,$0.00
2019|02,Queensland,Nerang,34,5,19,0,$0.00
2019|02,Queensland,Redcliffe,29,5,15,0,$0.00
2019|02,Queensland,Rockhampton,674,160,339,19,"$1,672.93"
2019|02,Queensland,Sunshine Coast,"12,106","3,604","6,776",393,"$49,246.84"
2019|02,Queensland,Toowoomba,"5,064","1,392","2,726",102,"$9,346.26"
2019|02,Queensland,Townsville,"3,240",965,"1,814",92,"$14,024.07"
2019|02,Queensland,Warwick,209,39,102,5,$436.29
2019|02,South Australia,(not set),"1,542",369,849,53,"$7,575.84"
2019|02,South Australia,Adelaide,"130,566","33,768","57,903","3,686","$440,814.43"
2019|02,South Australia,Gawler,189,63,121,5,$431.68
2019|02,South Australia,Mount Gambier,427,112,204,15,"$1,569.08"
2019|02,South Australia,Murray Bridge,155,58,107,10,"$3,964.81"
2019|02,South Australia,Port Lincoln,102,24,34,15,"$1,042.19"
2019|02,South Australia,Port Pirie,19,15,19,0,$0.00
2019|02,South Australia,Victor Harbor - Goolwa,209,102,165,5,$218.56
2019|02,South Australia,Whyalla,228,44,102,10,$570.01
2019|02,Tasmania,(not set),"1,509",335,771,44,"$6,882.53"
2019|02,Tasmania,Burnie - Somerset,582,141,291,15,"$1,246.25"
2019|02,Tasmania,Devonport,"1,397",325,805,39,"$4,184.00"
2019|02,Tasmania,Hobart,"13,057","3,550","6,713",403,"$52,212.92"
2019|02,Tasmania,Kingston,19,15,15,0,$0.00
2019|02,Tasmania,Launceston,"11,762","2,886","5,801",349,"$50,776.25"
2019|02,Tasmania,Ulverstone,209,44,102,5,"$1,022.94"
2019|02,Victoria,(not set),"5,030","1,392","2,755",150,"$19,485.17"
2019|02,Victoria,Bacchus Marsh,243,58,131,0,$0.00
2019|02,Victoria,Bairnsdale,184,24,73,5,$181.31
2019|02,Victoria,Ballarat,"2,629",635,"1,290",107,"$15,303.20"
2019|02,Victoria,Barwon Downs,87,19,53,0,$0.00
2019|02,Victoria,Bendigo,"2,032",519,"1,082",39,"$10,008.91"
2019|02,Victoria,Colac,252,97,150,0,$0.00
2019|02,Victoria,Craigieburn,29,5,19,5,$151.57
2019|02,Victoria,Cranbourne,78,10,44,0,$0.00
2019|02,Victoria,Drouin,412,87,204,5,$606.29
2019|02,Victoria,Echuca,213,63,155,5,$363.48
2019|02,Victoria,Geelong,"6,921","1,858","3,633",199,"$18,384.14"
2019|02,Victoria,Hamilton,97,39,58,5,$969.83
2019|02,Victoria,Horsham,24,10,19,0,$0.00
2019|02,Victoria,Melbourne,"574,818","155,041","259,673","16,312","$1,892,267.41"
2019|02,Victoria,Melton,68,5,15,0,$0.00
2019|02,Victoria,Mildura,990,209,432,39,"$5,871.72"
2019|02,Victoria,Moe - Newborough,354,107,189,24,"$1,927.38"
2019|02,Victoria,Morwell,223,53,126,5,$82.89
2019|02,Victoria,Mount Martha,10,5,5,0,$0.00
2019|02,Victoria,Pakenham,"2,871",509,"1,096",131,"$18,554.10"
2019|02,Victoria,Portland,73,15,29,5,$58.16
2019|02,Victoria,Rosebud,5,5,5,0,$0.00
2019|02,Victoria,Sale,325,73,175,5,$722.46
2019|02,Victoria,Shepparton - Mooroopna,"1,523",369,689,44,"$4,841.61"
2019|02,Victoria,Sunbury,"1,053",218,504,34,"$3,038.25"
2019|02,Victoria,Swan Hill,49,19,29,0,$0.00
2019|02,Victoria,Traralgon,519,121,276,5,$179.17
2019|02,Victoria,Wangaratta,320,92,165,19,"$2,554.00"
2019|02,Victoria,Warragul,849,209,408,34,"$2,185.85"
2019|02,Victoria,Warrnambool,611,126,306,19,"$1,325.40"
2019|02,Victoria,Wodonga,616,262,441,19,"$2,041.89"
2019|02,Western Australia,(not set),"2,110",621,"1,208",73,"$7,344.48"
2019|02,Western Australia,Albany,213,82,136,10,$895.52
2019|02,Western Australia,Broome,15,5,10,0,$0.00
2019|02,Western Australia,Bunbury,771,204,393,39,"$6,632.06"
2019|02,Western Australia,Busselton,184,107,141,0,$0.00
2019|02,Western Australia,Geraldton,344,131,218,5,$409.56
2019|02,Western Australia,Kalgoorlie - Boulder,121,34,44,5,$855.94
2019|02,Western Australia,Karratha,5,0,5,0,$0.00
2019|02,Western Australia,Kwinana Town Centre,5,5,5,0,$0.00
2019|02,Western Australia,Mandurah,"1,897",602,"1,227",34,"$3,524.30"
2019|02,Western Australia,Perth,"138,768","42,101","67,022","3,837","$453,734.42"
2019|02,Western Australia,Rockingham,5,5,5,0,$0.00
2019|03,(not set),(not set),77,27,49,0,$0.00
2019|03,Australian Capital Territory,(not set),115,60,77,11,$546.88
2019|03,Australian Capital Territory,Canberra,"33,137","10,211","17,007",947,"$96,320.89"
2019|03,Jervis Bay Territory,(not set),5,5,5,5,$136.56
2019|03,New South Wales,(not set),"9,281","2,535","4,917",225,"$28,874.17"
2019|03,New South Wales,Albury,"1,320",334,706,60,"$13,179.72"
2019|03,New South Wales,Armidale,925,197,389,27,"$1,290.43"
2019|03,New South Wales,Ballina,263,93,153,16,$817.85
2019|03,New South Wales,Batemans Bay,290,33,55,11,$327.97
2019|03,New South Wales,Bathurst,728,170,361,22,"$2,923.07"
2019|03,New South Wales,Bowral,126,66,93,0,$0.00
2019|03,New South Wales,Broken Hill,110,49,82,16,"$7,007.85"
2019|03,New South Wales,Byron Bay,865,279,526,38,"$5,084.91"
2019|03,New South Wales,Casino,38,11,22,0,$0.00
2019|03,New South Wales,Central Coast,"14,406","4,057","7,934",443,"$57,239.79"
2019|03,New South Wales,Cessnock,279,77,175,11,"$1,123.82"
2019|03,New South Wales,Coffs Harbour,"1,593",504,931,44,"$4,787.65"
2019|03,New South Wales,Dubbo,"1,276",416,761,49,"$6,143.90"
2019|03,New South Wales,Forbes,208,11,60,27,"$9,074.74"
2019|03,New South Wales,Goulburn,5,0,5,0,$0.00
